teamA;teamB;score
Mlaga;Zenit Saint Petersburg;0
Milan;Anderlecht;1
Zenit Saint Petersburg;Milan;2
Anderlecht;Mlaga;2
Zenit Saint Petersburg;Anderlecht;0
Mlaga;Milan;0
Anderlecht;Zenit Saint Petersburg;0
Milan;Mlaga;1
Zenit Saint Petersburg;Mlaga;1
Anderlecht;Milan;2
Mlaga;Anderlecht;1
Milan;Zenit Saint Petersburg;2
Borussia Dortmund;Ajax;0
Real Madrid;Manchester City;0
Manchester City;Borussia Dortmund;1
Ajax;Real Madrid;2
Ajax;Manchester City;0
Borussia Dortmund;Real Madrid;0
Manchester City;Ajax;1
Real Madrid;Borussia Dortmund;1
Ajax;Borussia Dortmund;2
Manchester City;Real Madrid;1
Borussia Dortmund;Manchester City;0
Real Madrid;Ajax;0
Shakhtar Donetsk;FC Nordsjlland;0
Chelsea;Juventus;1
Juventus;Shakhtar Donetsk;1
FC Nordsjlland;Chelsea;2
FC Nordsjlland;Juventus;1
Shakhtar Donetsk;Chelsea;0
Juventus;FC Nordsjlland;0
Chelsea;Shakhtar Donetsk;0
FC Nordsjlland;Shakhtar Donetsk;2
Juventus;Chelsea;0
Shakhtar Donetsk;Juventus;2
Chelsea;FC Nordsjlland;0
Lille;BATE Borisov;2
Bayern Munich;Valencia;0
Valencia;Lille;0
BATE Borisov;Bayern Munich;0
BATE Borisov;Valencia;2
Lille;Bayern Munich;2
Valencia;BATE Borisov;0
Bayern Munich;Lille;0
BATE Borisov;Lille;2
Valencia;Bayern Munich;1
Lille;Valencia;2
Bayern Munich;BATE Borisov;0
Barcelona;Spartak Moscow;0
Celtic;Benfica;1
Spartak Moscow;Celtic;2
Benfica;Barcelona;2
Spartak Moscow;Benfica;0
Barcelona;Celtic;0
Benfica;Spartak Moscow;0
Celtic;Barcelona;0
Spartak Moscow;Barcelona;2
Benfica;Celtic;0
Barcelona;Benfica;1
Celtic;Spartak Moscow;0
Manchester United;Galatasaray;0
Braga;CFR Cluj;2
CFR Cluj;Manchester United;2
Galatasaray;Braga;2
Galatasaray;CFR Cluj;1
Manchester United;Braga;0
CFR Cluj;Galatasaray;2
Braga;Manchester United;2
Galatasaray;Manchester United;0
CFR Cluj;Braga;0
Manchester United;CFR Cluj;2
Braga;Galatasaray;2
Manchester United;Bayer Leverkusen;0
Real Sociedad;Shakhtar Donetsk;2
Shakhtar Donetsk;Manchester United;1
Bayer Leverkusen;Real Sociedad;0
Bayer Leverkusen;Shakhtar Donetsk;0
Manchester United;Real Sociedad;0
Shakhtar Donetsk;Bayer Leverkusen;1
Real Sociedad;Manchester United;1
Bayer Leverkusen;Manchester United;2
Shakhtar Donetsk;Real Sociedad;0
Manchester United;Shakhtar Donetsk;0
Real Sociedad;Bayer Leverkusen;2
Galatasaray;Real Madrid;2
Copenhagen;Juventus;1
Juventus;Galatasaray;1
Real Madrid;Copenhagen;0
Real Madrid;Juventus;0
Galatasaray;Copenhagen;0
Juventus;Real Madrid;1
Copenhagen;Galatasaray;0
Real Madrid;Galatasaray;0
Juventus;Copenhagen;0
Galatasaray;Juventus;0
Copenhagen;Real Madrid;2
Benfica;Anderlecht;0
Olympiacos;Paris SaintGermain;2
Paris SaintGermain;Benfica;0
Anderlecht;Olympiacos;2
Anderlecht;Paris SaintGermain;2
Benfica;Olympiacos;1
Paris SaintGermain;Anderlecht;1
Olympiacos;Benfica;0
Anderlecht;Benfica;2
Paris SaintGermain;Olympiacos;0
Benfica;Paris SaintGermain;0
Olympiacos;Anderlecht;0
Bayern Munich;CSKA Moscow;0
Viktoria Plze;Manchester City;2
CSKA Moscow;Viktoria Plze;0
Manchester City;Bayern Munich;2
CSKA Moscow;Manchester City;2
Bayern Munich;Viktoria Plze;0
Manchester City;CSKA Moscow;0
Viktoria Plze;Bayern Munich;2
CSKA Moscow;Bayern Munich;2
Manchester City;Viktoria Plze;0
Bayern Munich;Manchester City;2
Viktoria Plze;CSKA Moscow;0
Schalke 04;Steaua Bucureti;0
Chelsea;Basel;2
Basel;Schalke 04;2
Steaua Bucureti;Chelsea;2
Steaua Bucureti;Basel;1
Schalke 04;Chelsea;2
Basel;Steaua Bucureti;1
Chelsea;Schalke 04;0
Steaua Bucureti;Schalke 04;1
Basel;Chelsea;0
Schalke 04;Basel;0
Chelsea;Steaua Bucureti;0
Marseille;Arsenal;2
Napoli;Borussia Dortmund;0
Borussia Dortmund;Marseille;0
Arsenal;Napoli;0
Arsenal;Borussia Dortmund;2
Marseille;Napoli;2
Borussia Dortmund;Arsenal;2
Napoli;Marseille;0
Arsenal;Marseille;0
Borussia Dortmund;Napoli;0
Marseille;Borussia Dortmund;2
Napoli;Arsenal;0
Austria Wien;Porto;2
Atltico Madrid;Zenit Saint Petersburg;0
Zenit Saint Petersburg;Austria Wien;1
Porto;Atltico Madrid;2
Porto;Zenit Saint Petersburg;2
Austria Wien;Atltico Madrid;2
Zenit Saint Petersburg;Porto;1
Atltico Madrid;Austria Wien;0
Zenit Saint Petersburg;Atltico Madrid;1
Porto;Austria Wien;1
Austria Wien;Zenit Saint Petersburg;0
Atltico Madrid;Porto;0
Milan;Celtic;0
Barcelona;Ajax;0
Ajax;Milan;1
Celtic;Barcelona;2
Celtic;Ajax;0
Milan;Barcelona;1
Ajax;Celtic;0
Barcelona;Milan;0
Celtic;Milan;2
Ajax;Barcelona;0
Milan;Ajax;1
Barcelona;Celtic;0
Olympiacos;Atltico Madrid;0
Juventus;Malm FF;0
Malm FF;Olympiacos;0
Atltico Madrid;Juventus;0
Atltico Madrid;Malm FF;0
Olympiacos;Juventus;0
Malm FF;Atltico Madrid;2
Juventus;Olympiacos;0
Atltico Madrid;Olympiacos;0
